id,marca,nombre,codigo,desc,familia,talles,precio_uno,precio_tres,precio_cantidad
promo-elemento-juvenil-mallas-20,Elemento,PROMO MALLAS ELEMENTO JUVENIL,1-9362,PROMO MALLAS ELEMENTO JUVENIL,Mallas,1|2|3,20000,20000,20000


promo-pack2-colaless-starry,Starry,PROMO PACK X 2 COLALESS STARRY,1-3291,PROMO PACK X 2 COLALESS STARRY,Bombachas,UNICO,4000,2500,2500

promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3343,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3339,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3318,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3261,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3036.3,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3223.3,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000
promo-cocot-medias-2-5,Cocot,PROMO MEDIAS COCOT,40-3253.3,PROMO MEDIAS COCOT,Medias,TU,2000,1666.67,5000


promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20900,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20901,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20902,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20904,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20905,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20906,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20911,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
promo-disney-nena-mallas-30,Disney,PROMO MALLAS DISNEY NENA,40-20913,PROMO MALLAS DISNEY NENA,Mallas,2|4|6|8,30000,30000,30000
