Código	Cantidad	Valorizado[CR al 16/05/26]	Monto de ventas	Ventas - Valorizado[CR al 16/05/26]
AVELLANEDA	8184	32310299.43	64209832.56	31899533.13
CASTELLI	2434	9901582.37	18899704.38	8998122.01
CORRIENTES	5155	21978870.18	41809968.88	19831098.7
LAMARCA	3577	16446833.76	32496717.84	16049884.08
NAZCA	8177	35531288.11	70302197.59	34770909.48
PUEYRREDON	4135	18590891.85	35535336.05	16944444.2
QUILMES	2850	10469640.35	20057241.68	9587601.33
SARMIENTO	4277	18196943.84	31127816.33	12930872.49
WEB	4595	27439038.78	43617118.25	16178079.47
